QuestionId,Title,Link,Tags,Content,Time,Votes,Answers,Views,Accepted,Detailed,Definitive
76784502,Need help deploying my CLI application in minikube,https://stackoverflow.com/questions/76784502/need-help-deploying-my-cli-application-in-minikube,"['docker', 'kubernetes', 'command-line-interface', 'minikube']",I have developed an application that accepts the URL of a webpage as input and generates a comprehensive Lighthouse report for the specified webpage.Lighthouse is an open-source tool developed by ...,2023-07-28 02:27:36Z,0,0,8,False,False,False
76783906,Problem MongoDB Community Kubernetes Operator,https://stackoverflow.com/questions/76783906/problem-mongodb-community-kubernetes-operator,"['c#', 'mongodb', 'kubernetes', 'nutanix']","After deploying a mongo base on a local eks cluster on carbon using mongodb-kubernetes-operator
The replicas, the ssl connection inside the cluster works correctly, but to connect out of cluster using ...",2023-07-27 23:01:09Z,0,0,4,False,False,False
76783892,How can I schedule cleanup of abandoned files on a Persistent Volume mounted into a StatefulSet pod?,https://stackoverflow.com/questions/76783892/how-can-i-schedule-cleanup-of-abandoned-files-on-a-persistent-volume-mounted-int,"['kubernetes', 'persistent-volumes', 'kubernetes-statefulset']","I have a StatefulSet which has a Persistent Volume (AWS EBS). I have a single container in my pod which is a HTTP service that ingests files, processes them, and then deletes them synchronously. I use ...",2023-07-27 22:56:56Z,0,0,11,False,False,False
76783878,Prometheus: How to run unit tests against PrometheusRule kubernetes manifests,https://stackoverflow.com/questions/76783878/prometheus-how-to-run-unit-tests-against-prometheusrule-kubernetes-manifests,"['kubernetes', 'yaml', 'prometheus', 'prometheus-alertmanager']","I wish to use promtool to run unit tests against alerts that I have setup e.g.
promtool test rules alert-test.yaml

Here's an example test file:
# alert-test.yaml
rule_files: 
- 'my-alert.yaml'
tests:
...",2023-07-27 22:54:21Z,0,1,9,False,False,False
76783699,Kubernetes SelfSubjectRulesReview -- actually appropriate for a UI?,https://stackoverflow.com/questions/76783699/kubernetes-selfsubjectrulesreview-actually-appropriate-for-a-ui,['kubernetes'],"I’m working on an application which interacts with K8s, and tries to make the operations our users are performing as simple and straightforward as possible. We want to disable actions the user can’t ...",2023-07-27 22:07:57Z,0,0,6,False,False,False
76783017,Generating self-signed certificates for Kubernetes pods and services,https://stackoverflow.com/questions/76783017/generating-self-signed-certificates-for-kubernetes-pods-and-services,"['kubernetes', 'ssl']","I want to create a SSL certificate for one or more Kubernetes pods or services. I can generate a SSL certificate for them by specifying its IP address for it. However, these IP addresses change. In ...",2023-07-27 19:56:28Z,0,0,14,False,False,False
76782757,NATS streaming server breaks when subscribing a listener in Node JS,https://stackoverflow.com/questions/76782757/nats-streaming-server-breaks-when-subscribing-a-listener-in-node-js,"['node.js', 'kubernetes', 'nats.io']","I'm trying to subscribe a listener to NATS streaming server to communicate two NodeJS pods in Kubernetes, but NATS prompts the following error:
[be-contact-form] /usr/src/app/node_modules/nats/lib/...",2023-07-27 19:09:59Z,2,0,6,False,False,False
76782072,dns lookup issue on 1.26.7 version kubernetes cluster,https://stackoverflow.com/questions/76782072/dns-lookup-issue-on-1-26-7-version-kubernetes-cluster,"['kubernetes', 'dns', 'containerd']","I have built a single control-plane 5 worker nodes cluster using kubeadm and containerd as container runtime. I have deployed a simple debian pod and I am getting flapping results in dns requests.
 ...",2023-07-27 17:12:46Z,0,0,10,False,False,False
76781944,Using Karpenter to autoscale spark on Kubernetes cluster,https://stackoverflow.com/questions/76781944/using-karpenter-to-autoscale-spark-on-kubernetes-cluster,"['apache-spark', 'kubernetes', 'karpenter']","We are currently using EMR to run our Spark service and we want to migrate to Kubernetes.
One of the things we thought of doing is using karpenter as the autoscaler of the Spark Kubernetes cluster we ...",2023-07-27 16:55:39Z,0,0,6,False,False,False
76781903,Accessing Kerberos NFS filer from kubernetes pod,https://stackoverflow.com/questions/76781903/accessing-kerberos-nfs-filer-from-kubernetes-pod,"['kubernetes', 'kerberos']","I'm trying to access NFS filer protected with Kerberos from my kubernetes pod using keytab file. To achieve this here is what I have done so far.

Created Dockerfile with Kerberos tools installed in ...",2023-07-27 16:49:30Z,0,0,9,False,False,False
